"id","order_id","product_id","quantity","total","updated_at","created_at"
"72","35","3","2","20","2025-04-24 16:51:18","2025-04-24 16:51:18"
"73","35","6","1","35","2025-04-24 16:51:18","2025-04-24 16:51:18"
"74","36","3","1","10","2025-04-24 16:52:12","2025-04-24 16:52:12"
"75","37","3","1","10","2025-04-24 16:52:12","2025-04-24 16:52:12"
"76","38","2","2","30","2025-04-24 17:19:50","2025-04-24 17:19:50"
"77","38","3","5","50","2025-04-24 17:19:50","2025-04-24 17:19:50"
"78","39","2","5","75","2025-04-26 09:22:06","2025-04-26 09:22:06"
"79","39","3","4","40","2025-04-26 09:22:06","2025-04-26 09:22:06"
"80","40","2","3","45","2025-04-29 05:27:19","2025-04-29 05:27:19"
"81","40","3","3","30","2025-04-29 05:27:19","2025-04-29 05:27:19"
"82","41","2","3","45","2025-04-29 05:27:20","2025-04-29 05:27:20"
"83","41","3","3","30","2025-04-29 05:27:20","2025-04-29 05:27:20"
"84","42","2","3","45","2025-04-29 07:26:50","2025-04-29 07:26:50"
"85","42","4","3","30","2025-04-29 07:26:50","2025-04-29 07:26:50"
"86","42","6","1","35","2025-04-29 07:26:50","2025-04-29 07:26:50"
"87","42","7","2","20","2025-04-29 07:26:50","2025-04-29 07:26:50"
"88","43","2","2","30","2025-04-29 15:45:02","2025-04-29 15:45:02"
"89","43","3","3","30","2025-04-29 15:45:02","2025-04-29 15:45:02"
"90","43","7","3","30","2025-04-29 15:45:02","2025-04-29 15:45:02"
"91","44","2","2","30","2025-04-29 15:45:02","2025-04-29 15:45:02"
"92","44","3","3","30","2025-04-29 15:45:02","2025-04-29 15:45:02"
"93","44","7","3","30","2025-04-29 15:45:02","2025-04-29 15:45:02"
"94","45","2","3","45","2025-04-29 15:45:25","2025-04-29 15:45:25"
"95","45","3","3","30","2025-04-29 15:45:25","2025-04-29 15:45:25"
"96","45","4","3","30","2025-04-29 15:45:25","2025-04-29 15:45:25"
"97","46","2","2","30","2025-05-01 06:06:47","2025-05-01 06:06:47"
"98","46","3","3","30","2025-05-01 06:06:47","2025-05-01 06:06:47"
"99","46","7","2","20","2025-05-01 06:06:47","2025-05-01 06:06:47"
"100","47","2","4","60","2025-05-01 14:31:08","2025-05-01 14:31:08"
"101","48","2","2","30","2025-05-02 08:43:13","2025-05-02 08:43:13"
"102","48","3","3","30","2025-05-02 08:43:13","2025-05-02 08:43:13"
"103","52","2","2","30","2025-05-02 08:43:21","2025-05-02 08:43:21"
"104","52","3","3","30","2025-05-02 08:43:21","2025-05-02 08:43:21"
"105","49","2","2","30","2025-05-02 08:43:21","2025-05-02 08:43:21"
"106","49","3","3","30","2025-05-02 08:43:21","2025-05-02 08:43:21"
"107","50","2","2","30","2025-05-02 08:43:21","2025-05-02 08:43:21"
"108","50","3","3","30","2025-05-02 08:43:21","2025-05-02 08:43:21"
"109","51","2","2","30","2025-05-02 08:43:21","2025-05-02 08:43:21"
"110","51","3","3","30","2025-05-02 08:43:21","2025-05-02 08:43:21"
"111","53","2","3","45","2025-05-02 12:27:24","2025-05-02 12:27:24"
"112","53","3","3","30","2025-05-02 12:27:24","2025-05-02 12:27:24"
"113","53","4","3","30","2025-05-02 12:27:24","2025-05-02 12:27:24"
"114","53","6","4","140","2025-05-02 12:27:24","2025-05-02 12:27:24"
"115","53","7","3","30","2025-05-02 12:27:24","2025-05-02 12:27:24"
"116","54","2","3","45","2025-05-02 12:27:50","2025-05-02 12:27:50"
"117","54","3","3","30","2025-05-02 12:27:50","2025-05-02 12:27:50"
"118","54","4","5","50","2025-05-02 12:27:50","2025-05-02 12:27:50"
"119","55","2","3","45","2025-05-05 12:07:12","2025-05-05 12:07:12"
"120","55","3","3","30","2025-05-05 12:07:12","2025-05-05 12:07:12"
"121","55","4","3","30","2025-05-05 12:07:12","2025-05-05 12:07:12"
"122","56","2","4","60","2025-05-05 12:07:36","2025-05-05 12:07:36"
"123","56","3","5","50","2025-05-05 12:07:36","2025-05-05 12:07:36"
"124","56","4","4","40","2025-05-05 12:07:36","2025-05-05 12:07:36"
"125","56","6","5","175","2025-05-05 12:07:36","2025-05-05 12:07:36"
"126","56","7","5","50","2025-05-05 12:07:36","2025-05-05 12:07:36"
"127","57","2","3","45","2025-05-06 06:22:15","2025-05-06 06:22:15"
"128","57","3","3","30","2025-05-06 06:22:15","2025-05-06 06:22:15"
"129","58","3","15","150","2025-05-14 17:16:43","2025-05-14 17:16:43"
"130","58","7","5","50","2025-05-14 17:16:43","2025-05-14 17:16:43"
"131","58","8","1","60","2025-05-14 17:16:43","2025-05-14 17:16:43"
"132","58","9","5","75","2025-05-14 17:16:43","2025-05-14 17:16:43"
"133","58","10","3","105","2025-05-14 17:16:43","2025-05-14 17:16:43"
"134","58","15","2","80","2025-05-14 17:16:43","2025-05-14 17:16:43"
"135","59","3","6","60","2025-05-14 17:17:28","2025-05-14 17:17:28"
"136","59","7","2","20","2025-05-14 17:17:28","2025-05-14 17:17:28"
"137","59","15","1","40","2025-05-14 17:17:28","2025-05-14 17:17:28"
"138","60","23","1","35","2025-05-14 17:19:09","2025-05-14 17:19:09"
"139","61","22","3","60","2025-05-14 17:19:29","2025-05-14 17:19:29"
"140","62","3","10","100","2025-05-15 15:28:33","2025-05-15 15:28:33"
"141","62","7","2","20","2025-05-15 15:28:33","2025-05-15 15:28:33"
"142","62","12","2","30","2025-05-15 15:28:33","2025-05-15 15:28:33"
"143","62","15","2","80","2025-05-15 15:28:33","2025-05-15 15:28:33"
"144","62","24","2","50","2025-05-15 15:28:33","2025-05-15 15:28:33"
"145","63","3","10","100","2025-05-15 15:29:23","2025-05-15 15:29:23"
"146","63","7","3","30","2025-05-15 15:29:23","2025-05-15 15:29:23"
"147","63","9","2","30","2025-05-15 15:29:23","2025-05-15 15:29:23"
"148","63","24","2","50","2025-05-15 15:29:23","2025-05-15 15:29:23"
"149","64","3","6","60","2025-05-15 15:41:54","2025-05-15 15:41:54"
"150","65","3","8","80","2025-05-16 17:00:12","2025-05-16 17:00:12"
"151","65","7","2","20","2025-05-16 17:00:12","2025-05-16 17:00:12"
"152","65","8","1","60","2025-05-16 17:00:12","2025-05-16 17:00:12"
"153","65","9","3","45","2025-05-16 17:00:12","2025-05-16 17:00:12"
"154","65","12","2","30","2025-05-16 17:00:12","2025-05-16 17:00:12"
"155","65","15","2","80","2025-05-16 17:00:12","2025-05-16 17:00:12"
"156","66","3","10","100","2025-05-16 17:01:33","2025-05-16 17:01:33"
"157","66","7","2","20","2025-05-16 17:01:33","2025-05-16 17:01:33"
"158","66","12","1","15","2025-05-16 17:01:33","2025-05-16 17:01:33"
"159","66","22","2","40","2025-05-16 17:01:33","2025-05-16 17:01:33"
"160","67","27","2","20","2025-05-16 17:03:57","2025-05-16 17:03:57"
"161","68","26","1","60","2025-05-16 17:04:08","2025-05-16 17:04:08"
"162","69","3","8","80","2025-05-17 15:57:17","2025-05-17 15:57:17"
"163","69","7","2","20","2025-05-17 15:57:17","2025-05-17 15:57:17"
"164","69","8","1","60","2025-05-17 15:57:17","2025-05-17 15:57:17"
"165","69","9","2","30","2025-05-17 15:57:17","2025-05-17 15:57:17"
"166","69","15","2","80","2025-05-17 15:57:17","2025-05-17 15:57:17"
"167","69","17","1","35","2025-05-17 15:57:17","2025-05-17 15:57:17"
"168","69","27","1","10","2025-05-17 15:57:17","2025-05-17 15:57:17"
"169","70","3","8","80","2025-05-17 15:57:18","2025-05-17 15:57:18"
"170","70","7","2","20","2025-05-17 15:57:18","2025-05-17 15:57:18"
"171","70","8","1","60","2025-05-17 15:57:18","2025-05-17 15:57:18"
"172","70","9","2","30","2025-05-17 15:57:18","2025-05-17 15:57:18"
"173","70","15","2","80","2025-05-17 15:57:18","2025-05-17 15:57:18"
"174","70","17","1","35","2025-05-17 15:57:18","2025-05-17 15:57:18"
"175","70","27","1","10","2025-05-17 15:57:18","2025-05-17 15:57:18"
"176","71","3","8","80","2025-05-17 16:00:04","2025-05-17 16:00:04"
"177","71","7","2","20","2025-05-17 16:00:04","2025-05-17 16:00:04"
"178","71","8","1","60","2025-05-17 16:00:04","2025-05-17 16:00:04"
"179","71","9","2","30","2025-05-17 16:00:04","2025-05-17 16:00:04"
"180","71","15","1","40","2025-05-17 16:00:04","2025-05-17 16:00:04"
"181","71","17","2","70","2025-05-17 16:00:04","2025-05-17 16:00:04"
"182","72","7","3","30","2025-05-17 16:02:41","2025-05-17 16:02:41"
"183","73","28","5","100","2025-05-17 16:02:55","2025-05-17 16:02:55"
"184","74","28","5","100","2025-05-17 16:02:56","2025-05-17 16:02:56"
"185","75","3","2","20","2025-05-19 16:23:07","2025-05-19 16:23:07"
"186","76","3","3","30","2025-05-19 16:23:59","2025-05-19 16:23:59"
"187","77","3","3","30","2025-05-19 16:24:40","2025-05-19 16:24:40"
"188","78","3","2","20","2025-05-19 16:25:03","2025-05-19 16:25:03"
"189","79","3","8","80","2025-05-19 16:27:11","2025-05-19 16:27:11"
"190","79","7","2","20","2025-05-19 16:27:11","2025-05-19 16:27:11"
"191","79","8","1","60","2025-05-19 16:27:11","2025-05-19 16:27:11"
"192","79","9","10","150","2025-05-19 16:27:11","2025-05-19 16:27:11"
"193","79","15","2","80","2025-05-19 16:27:11","2025-05-19 16:27:11"
"194","79","18","1","20","2025-05-19 16:27:11","2025-05-19 16:27:11"
"195","79","23","1","35","2025-05-19 16:27:11","2025-05-19 16:27:11"
"196","79","27","1","10","2025-05-19 16:27:11","2025-05-19 16:27:11"
"197","79","31","2","80","2025-05-19 16:27:11","2025-05-19 16:27:11"
"198","80","3","10","100","2025-05-19 16:28:11","2025-05-19 16:28:11"
"199","80","7","2","20","2025-05-19 16:28:11","2025-05-19 16:28:11"
"200","80","8","2","120","2025-05-19 16:28:11","2025-05-19 16:28:11"
"201","80","15","1","40","2025-05-19 16:28:11","2025-05-19 16:28:11"
"202","81","3","3","30","2025-05-19 16:28:41","2025-05-19 16:28:41"
"203","82","3","1","10","2025-05-19 16:29:08","2025-05-19 16:29:08"
"204","82","18","1","20","2025-05-19 16:29:08","2025-05-19 16:29:08"
"205","83","3","1","10","2025-05-19 16:29:30","2025-05-19 16:29:30"
"206","84","20","1","20","2025-05-19 16:30:03","2025-05-19 16:30:03"
"207","85","7","1","10","2025-05-19 16:33:23","2025-05-19 16:33:23"
"208","85","18","1","20","2025-05-19 16:33:23","2025-05-19 16:33:23"
"209","85","32","1","20","2025-05-19 16:33:23","2025-05-19 16:33:23"
"210","86","7","1","10","2025-05-19 16:33:53","2025-05-19 16:33:53"
"211","86","18","1","20","2025-05-19 16:33:53","2025-05-19 16:33:53"
"212","86","31","1","40","2025-05-19 16:33:53","2025-05-19 16:33:53"
"213","87","15","1","40","2025-05-19 16:34:43","2025-05-19 16:34:43"
"214","87","18","1","20","2025-05-19 16:34:43","2025-05-19 16:34:43"
"215","87","34","1","20","2025-05-19 16:34:43","2025-05-19 16:34:43"
"216","88","3","1","10","2025-05-19 16:35:07","2025-05-19 16:35:07"
"217","88","7","1","10","2025-05-19 16:35:07","2025-05-19 16:35:07"
"218","89","3","2","20","2025-05-19 16:35:26","2025-05-19 16:35:26"
"219","90","18","1","20","2025-05-19 16:36:14","2025-05-19 16:36:14"
"220","90","31","1","40","2025-05-19 16:36:14","2025-05-19 16:36:14"
"221","91","7","1","10","2025-05-19 16:36:37","2025-05-19 16:36:37"
"222","91","15","1","40","2025-05-19 16:36:37","2025-05-19 16:36:37"
"223","91","31","1","40","2025-05-19 16:36:37","2025-05-19 16:36:37"
"224","92","6","1","35","2025-05-19 16:37:18","2025-05-19 16:37:18"
"225","92","9","1","15","2025-05-19 16:37:18","2025-05-19 16:37:18"
"226","92","15","1","40","2025-05-19 16:37:18","2025-05-19 16:37:18"
"227","93","3","2","20","2025-05-19 16:38:03","2025-05-19 16:38:03"
"228","93","6","1","35","2025-05-19 16:38:03","2025-05-19 16:38:03"
"229","93","15","1","40","2025-05-19 16:38:03","2025-05-19 16:38:03"
"230","93","18","1","20","2025-05-19 16:38:03","2025-05-19 16:38:03"
"231","93","31","1","40","2025-05-19 16:38:03","2025-05-19 16:38:03"
"232","94","7","1","10","2025-05-19 16:38:33","2025-05-19 16:38:33"
"233","94","8","1","60","2025-05-19 16:38:33","2025-05-19 16:38:33"
"234","95","3","3","30","2025-05-19 16:38:56","2025-05-19 16:38:56"
"235","96","3","2","20","2025-05-19 16:39:16","2025-05-19 16:39:16"
"236","97","3","3","30","2025-05-19 16:39:36","2025-05-19 16:39:36"
"237","98","3","4","40","2025-05-19 16:39:55","2025-05-19 16:39:55"
"238","99","34","1","20","2025-05-19 16:40:14","2025-05-19 16:40:14"
"239","101","3","2","20","2025-05-19 16:41:00","2025-05-19 16:41:00"
"240","101","6","1","35","2025-05-19 16:41:00","2025-05-19 16:41:00"
"241","101","18","1","20","2025-05-19 16:41:00","2025-05-19 16:41:00"
"242","100","3","2","20","2025-05-19 16:41:00","2025-05-19 16:41:00"
"243","100","6","1","35","2025-05-19 16:41:00","2025-05-19 16:41:00"
"244","100","18","1","20","2025-05-19 16:41:00","2025-05-19 16:41:00"
"245","102","8","2","120","2025-05-19 16:41:17","2025-05-19 16:41:17"
"246","103","3","4","40","2025-05-19 16:41:53","2025-05-19 16:41:53"
"247","103","7","1","10","2025-05-19 16:41:53","2025-05-19 16:41:53"
"248","104","3","2","20","2025-05-19 16:42:16","2025-05-19 16:42:16"
"249","105","3","4","40","2025-05-19 16:42:43","2025-05-19 16:42:43"
"250","105","6","4","140","2025-05-19 16:42:43","2025-05-19 16:42:43"
"251","106","3","1","10","2025-05-19 16:43:01","2025-05-19 16:43:01"
"252","107","32","1","20","2025-05-19 16:43:29","2025-05-19 16:43:29"
"253","108","3","2","20","2025-05-19 16:44:06","2025-05-19 16:44:06"
"254","108","8","1","60","2025-05-19 16:44:06","2025-05-19 16:44:06"
"255","108","21","2","10","2025-05-19 16:44:06","2025-05-19 16:44:06"
"256","108","32","1","20","2025-05-19 16:44:06","2025-05-19 16:44:06"
"257","109","3","8","80","2025-05-19 16:45:43","2025-05-19 16:45:43"
"258","109","7","5","50","2025-05-19 16:45:43","2025-05-19 16:45:43"
"259","109","15","1","40","2025-05-19 16:45:43","2025-05-19 16:45:43"
"260","109","31","2","80","2025-05-19 16:45:43","2025-05-19 16:45:43"
"261","110","25","1","100","2025-05-19 16:46:05","2025-05-19 16:46:05"
"262","111","3","19","190","2025-05-19 16:47:17","2025-05-19 16:47:17"
"263","111","7","8","80","2025-05-19 16:47:17","2025-05-19 16:47:17"
"264","111","15","1","40","2025-05-19 16:47:17","2025-05-19 16:47:17"
"265","111","23","7","245","2025-05-19 16:47:17","2025-05-19 16:47:17"
"266","112","25","1","100","2025-05-19 16:47:37","2025-05-19 16:47:37"
"267","113","3","3","30","2025-05-19 16:47:56","2025-05-19 16:47:56"
"268","114","25","1","100","2025-05-19 16:48:16","2025-05-19 16:48:16"
"269","115","3","4","40","2025-05-19 16:49:04","2025-05-19 16:49:04"
"270","115","7","2","20","2025-05-19 16:49:04","2025-05-19 16:49:04"
"271","115","15","1","40","2025-05-19 16:49:04","2025-05-19 16:49:04"
"272","116","18","1","20","2025-05-19 16:49:34","2025-05-19 16:49:34"
"273","117","3","3","30","2025-05-19 16:49:54","2025-05-19 16:49:54"
"274","118","3","3","30","2025-05-19 16:50:31","2025-05-19 16:50:31"
"275","118","15","1","40","2025-05-19 16:50:31","2025-05-19 16:50:31"
"276","118","25","1","100","2025-05-19 16:50:31","2025-05-19 16:50:31"
"277","119","3","3","30","2025-05-19 16:51:08","2025-05-19 16:51:08"
"278","120","3","3","30","2025-05-19 16:52:03","2025-05-19 16:52:03"
"279","120","18","1","20","2025-05-19 16:52:03","2025-05-19 16:52:03"
"280","120","25","1","100","2025-05-19 16:52:03","2025-05-19 16:52:03"
"281","120","31","1","40","2025-05-19 16:52:03","2025-05-19 16:52:03"
"282","121","3","1","10","2025-05-19 16:52:33","2025-05-19 16:52:33"
"283","122","3","3","30","2025-05-19 16:52:53","2025-05-19 16:52:53"
"284","123","7","1","10","2025-05-19 16:53:26","2025-05-19 16:53:26"
"285","123","9","1","15","2025-05-19 16:53:26","2025-05-19 16:53:26"
"286","123","15","1","40","2025-05-19 16:53:26","2025-05-19 16:53:26"
"287","123","31","1","40","2025-05-19 16:53:26","2025-05-19 16:53:26"
"288","124","7","1","10","2025-05-19 16:54:22","2025-05-19 16:54:22"
"289","125","3","3","30","2025-05-19 16:55:02","2025-05-19 16:55:02"
"290","126","3","2","20","2025-05-19 16:55:22","2025-05-19 16:55:22"
"291","127","3","3","30","2025-05-19 16:56:38","2025-05-19 16:56:38"
"292","128","3","3","30","2025-05-19 16:57:07","2025-05-19 16:57:07"
"293","129","3","2","20","2025-05-19 16:58:24","2025-05-19 16:58:24"
"294","129","7","1","10","2025-05-19 16:58:24","2025-05-19 16:58:24"
"295","129","8","1","60","2025-05-19 16:58:24","2025-05-19 16:58:24"
"296","129","15","2","80","2025-05-19 16:58:24","2025-05-19 16:58:24"
"297","129","18","1","20","2025-05-19 16:58:24","2025-05-19 16:58:24"
"298","129","27","2","20","2025-05-19 16:58:24","2025-05-19 16:58:24"
"299","129","31","1","40","2025-05-19 16:58:24","2025-05-19 16:58:24"
"300","130","3","3","30","2025-05-19 17:03:07","2025-05-19 17:03:07"
"301","130","8","1","60","2025-05-19 17:03:07","2025-05-19 17:03:07"
"302","131","3","2","20","2025-05-19 17:03:26","2025-05-19 17:03:26"
"303","132","3","3","30","2025-05-19 17:03:44","2025-05-19 17:03:44"
"304","133","3","2","20","2025-05-19 17:04:10","2025-05-19 17:04:10"
"305","134","3","3","30","2025-05-19 17:04:34","2025-05-19 17:04:34"
"306","134","18","1","20","2025-05-19 17:04:34","2025-05-19 17:04:34"
"307","135","3","4","40","2025-05-19 17:05:10","2025-05-19 17:05:10"
"308","135","15","1","40","2025-05-19 17:05:10","2025-05-19 17:05:10"
"309","135","18","1","20","2025-05-19 17:05:10","2025-05-19 17:05:10"
"310","135","31","1","40","2025-05-19 17:05:10","2025-05-19 17:05:10"
"311","136","3","2","20","2025-05-19 17:05:32","2025-05-19 17:05:32"
"312","137","3","3","30","2025-05-19 17:06:22","2025-05-19 17:06:22"
"313","137","7","3","30","2025-05-19 17:06:22","2025-05-19 17:06:22"
"314","137","15","2","80","2025-05-19 17:06:22","2025-05-19 17:06:22"
"315","137","18","2","40","2025-05-19 17:06:22","2025-05-19 17:06:22"
"316","137","25","1","100","2025-05-19 17:06:22","2025-05-19 17:06:22"
"317","138","3","42","420","2025-05-19 17:08:02","2025-05-19 17:08:02"
"318","138","6","1","35","2025-05-19 17:08:02","2025-05-19 17:08:02"
"319","138","7","2","20","2025-05-19 17:08:02","2025-05-19 17:08:02"
"320","138","15","5","200","2025-05-19 17:08:02","2025-05-19 17:08:02"
"321","138","18","3","60","2025-05-19 17:08:02","2025-05-19 17:08:02"
"322","138","25","1","100","2025-05-19 17:08:02","2025-05-19 17:08:02"
"323","138","27","3","30","2025-05-19 17:08:02","2025-05-19 17:08:02"
"324","138","28","5","100","2025-05-19 17:08:02","2025-05-19 17:08:02"
"325","138","31","2","80","2025-05-19 17:08:02","2025-05-19 17:08:02"
"326","139","28","2","40","2025-05-19 17:08:21","2025-05-19 17:08:21"
"327","140","3","3","30","2025-05-19 17:09:19","2025-05-19 17:09:19"
"328","140","7","2","20","2025-05-19 17:09:19","2025-05-19 17:09:19"
"329","140","8","1","60","2025-05-19 17:09:19","2025-05-19 17:09:19"
"330","140","9","2","30","2025-05-19 17:09:19","2025-05-19 17:09:19"
"331","140","18","1","20","2025-05-19 17:09:19","2025-05-19 17:09:19"
"332","140","31","2","80","2025-05-19 17:09:19","2025-05-19 17:09:19"
"333","141","7","1","10","2025-05-19 17:09:51","2025-05-19 17:09:51"
"334","141","8","1","60","2025-05-19 17:09:51","2025-05-19 17:09:51"
"335","141","18","1","20","2025-05-19 17:09:51","2025-05-19 17:09:51"
"336","141","27","1","10","2025-05-19 17:09:51","2025-05-19 17:09:51"
"337","142","3","2","20","2025-05-19 17:10:43","2025-05-19 17:10:43"
"338","142","18","1","20","2025-05-19 17:10:43","2025-05-19 17:10:43"
"339","143","3","6","60","2025-05-19 17:11:21","2025-05-19 17:11:21"
"340","143","7","4","40","2025-05-19 17:11:21","2025-05-19 17:11:21"
"341","143","9","3","45","2025-05-19 17:11:21","2025-05-19 17:11:21"
"342","143","15","1","40","2025-05-19 17:11:21","2025-05-19 17:11:21"
"343","144","3","2","20","2025-05-19 17:12:02","2025-05-19 17:12:02"
"344","144","7","1","10","2025-05-19 17:12:02","2025-05-19 17:12:02"
"345","144","27","1","10","2025-05-19 17:12:02","2025-05-19 17:12:02"
"346","145","3","3","30","2025-05-19 17:12:28","2025-05-19 17:12:28"
"347","145","18","1","20","2025-05-19 17:12:28","2025-05-19 17:12:28"
"348","146","3","1","10","2025-05-19 17:12:48","2025-05-19 17:12:48"
"349","146","31","1","40","2025-05-19 17:12:48","2025-05-19 17:12:48"
"350","147","3","2","20","2025-05-19 17:13:27","2025-05-19 17:13:27"
"351","147","7","1","10","2025-05-19 17:13:27","2025-05-19 17:13:27"
"352","147","31","1","40","2025-05-19 17:13:27","2025-05-19 17:13:27"
"353","148","15","1","40","2025-05-19 17:14:09","2025-05-19 17:14:09"
"354","149","7","1","10","2025-05-19 17:14:35","2025-05-19 17:14:35"
"355","149","31","1","40","2025-05-19 17:14:35","2025-05-19 17:14:35"
"356","150","3","1","10","2025-05-19 17:14:57","2025-05-19 17:14:57"
"357","150","8","1","60","2025-05-19 17:14:57","2025-05-19 17:14:57"
"358","150","18","1","20","2025-05-19 17:14:57","2025-05-19 17:14:57"
"359","151","3","3","30","2025-05-19 17:15:26","2025-05-19 17:15:26"
"360","151","6","2","70","2025-05-19 17:15:26","2025-05-19 17:15:26"
"361","152","3","2","20","2025-05-19 17:16:18","2025-05-19 17:16:18"
"362","152","8","1","60","2025-05-19 17:16:18","2025-05-19 17:16:18"
"363","152","18","1","20","2025-05-19 17:16:18","2025-05-19 17:16:18"
"364","152","32","1","20","2025-05-19 17:16:18","2025-05-19 17:16:18"
"365","153","3","2","20","2025-05-19 17:16:45","2025-05-19 17:16:45"
"366","153","7","1","10","2025-05-19 17:16:45","2025-05-19 17:16:45"
"367","153","18","1","20","2025-05-19 17:16:45","2025-05-19 17:16:45"
"368","154","3","1","10","2025-05-19 17:17:16","2025-05-19 17:17:16"
"369","154","7","1","10","2025-05-19 17:17:16","2025-05-19 17:17:16"
"370","154","15","1","40","2025-05-19 17:17:16","2025-05-19 17:17:16"
"371","154","31","1","40","2025-05-19 17:17:16","2025-05-19 17:17:16"
"372","155","7","1","10","2025-05-19 17:17:41","2025-05-19 17:17:41"
"373","156","3","10","100","2025-05-19 17:18:34","2025-05-19 17:18:34"
"374","156","7","2","20","2025-05-19 17:18:34","2025-05-19 17:18:34"
"375","156","31","2","80","2025-05-19 17:18:34","2025-05-19 17:18:34"
"376","157","3","3","30","2025-05-19 17:19:03","2025-05-19 17:19:03"
"377","158","3","2","20","2025-05-19 17:20:02","2025-05-19 17:20:02"
"378","158","8","1","60","2025-05-19 17:20:02","2025-05-19 17:20:02"
"379","158","18","1","20","2025-05-19 17:20:02","2025-05-19 17:20:02"
"380","158","31","1","40","2025-05-19 17:20:02","2025-05-19 17:20:02"
"381","158","32","1","20","2025-05-19 17:20:02","2025-05-19 17:20:02"
